replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
200919,37.010624,27.419004,37.003006,27.41947,0.00015056175,0.00025160762,0.0008486494,0.00078551203,0.0030860456,-0.0010201612,0.0024693855,0.0006253007,0.004044652,0.0004575965,0.0008478031,0.0007879926,0.0030701861,-0.0010607602,0.0024652788,0.0006201772,0.00413818,0.00049758237,0.0008538438,0.00079632585,0.0030955547,-0.0009251697,0.0024579791,0.00063034584,0.0040822877,0.0005112027,0.06246926,0.56926066,0.9992503,-0.9991077,2.9044728,1.0722172,5.301868,0.7782686,1,1,-2.0218143,0.0008758105,0.00074759556,0.0027841139,-0.00067375274,0.002398285,0.00061523,0.0038766172,0.0010031435,2.906386,1.0725304,5.3050737,0.77855057,-2.0209913,0.3822025,-0.7968912,-2.7464316,0.0005924652,0.0004249528,0.0014099751,-0.0009525964,0.0005603885,0.0017296395,0.0029533424,-0.0025344505,0.9998999834060669,-0.0,0,0,9963,50,199.26,53.76646166524258,385,138,1.0127827574933441,0.19420369597326917,2.5548492207922444,0.33476006446027706,201.8070922581238,74.81772254256971,413.4494524209321,121.50137581892442,0.00068132026,0.00036056957,0.0013251951,3.6444195e-05,50,201.8070922581238,6.810252564959228,0.020333246793597937,115.56767621729523,122.39826202904806,125.16393495211378,0
200919,30.981295,17.320961,30.926086,17.510162,2.6007614,2.6281812,16.002783,10.998212,46.542515,-17.413986,15.813807,11.10102,46.74556,-19.138212,13.440329,11.798151,44.54853,-20.731718,13.2335,12.065355,42.741737,-21.596275,15.932452,10.977737,46.481537,-20.451218,15.738586,11.134876,46.359894,-20.24826,0.071465276,0.57328933,0.9985949,-0.999893,2.9002657,1.0971532,4.9156933,0.20805107,5001,5001,-16.729017,18.003319,10.226442,45.18061,-10.667929,17.787266,10.390413,44.963657,-14.273033,17.769634,11.294998,46.6885,-15.075378,-1.2500561,1.3401101,5.728713,-3.9986346,0.07794885,0.48401493,1.7335956,-1.529322,-0.38960174,0.42958906,0.66321844,-1.6521286,0.6121376156806946,-2.0855045318603516,0,0,19905,144,105.76595744680851,2.7305425067498854,114,101,2.4273894729081493,0.805350965161914,3.7535222292812294,0.9999586851172483,256.7351716984342,11.057595494657182,288.6864287666426,237.7794399237313,0.04363166,0.22360271,0.7755463,-0.5746005,94,256.7351716984342,9.331692726816982,0.015423102770000696,114.99575355509296,124.34286938467994,249.5117439017631,1
200919,25.993183,15.744431,26.38322,15.6497345,3.0760672,2.9325109,31.533453,11.982986,62.31272,-15.998827,31.018356,11.95966,61.553596,-19.955254,27.264523,13.40509,60.40927,-20.667458,26.983624,13.455057,59.331696,-24.550142,31.29365,12.133155,62.41249,-15.075001,30.812048,12.093376,61.623184,-14.891213,0.057747666,0.5697948,0.9996968,-0.9998114,3.0346088,1.0415972,5.210074,0.37682417,10001,10001,-31.48901,32.87153,11.423981,61.643394,-3.7321591,32.369186,11.346906,61.193146,-4.145272,33.206017,12.226596,62.094032,-11.45211,-0.60215586,1.8107849,5.5772843,-4.4107995,0.06306603,0.6443501,2.0357618,-2.1779752,-0.55927795,0.5020583,0.7115196,-1.9811603,0.3757147192955017,-3.5258865356445312,0,0,29875,236,108.3695652173913,23.3385841152932,173,87,2.4900279104036542,0.8771076732323403,4.784857386736263,0.9974652120744567,269.8432420296135,88.60760744868267,526.6307109063259,189.39367881883425,0.06462891,0.36043766,0.97591907,-0.963688,92,269.8432420296135,8.506815447006375,0.015326872933655977,112.90208922093734,121.42423154087737,370.9428206272423,2
200919,17.797554,14.346741,17.730484,14.740723,3.2532983,3.1791708,89.141464,21.677052,132.46803,-5.275938,89.485344,21.696384,133.89136,-5.1316147,83.42692,21.346231,130.0173,-12.327536,83.87662,21.58323,132.22316,-13.208898,88.87545,21.760015,131.1742,-7.943068,89.21932,21.776838,132.09189,-8.177357,0.075637735,0.5709335,0.99988204,-0.99995697,2.9442556,1.0010405,4.923571,0.7939957,15001,15001,-86.82213,88.80606,21.668543,131.9387,-4.297519,89.07886,21.715261,133.01123,-4.156737,89.20502,21.683493,130.35231,-1.2826889,2.1400938,2.4612756,9.688916,-3.7603796,0.18897535,1.1866715,3.3923702,-3.764763,-1.0960861,0.57251555,0.27609462,-2.4017224,0.2602998912334442,-1.157294511795044,0,0,39749,310,133.43243243243242,1.7091255950013382,135,127,2.714212817818291,1.0063122463851735,4.416406755434269,0.9869947975552957,362.16401842078125,6.371651400846083,370.82352812384863,340.94257617467974,0.17537026,0.6195199,0.99871653,-0.99580115,74,362.16401842078125,9.361408883240074,0.01492425287142396,110.67720919521526,120.05354233132675,491.0028915232979,3
200919,26.03873,14.603455,26.354965,14.624817,4.101328,4.004456,127.28514,38.229897,186.60501,-1.2037427,127.26675,38.112366,188.31296,-0.5449503,119.979416,37.84685,187.04129,-17.291447,120.13936,37.96251,188.06006,-19.129242,126.80813,38.313164,186.98079,-20.213707,126.779236,38.2852,188.1712,-20.486956,0.08599925,0.58200103,0.99994016,-0.9995934,2.8864632,1.0205008,5.1082826,0.8555096,20001,20001,-123.9823,126.49405,38.092854,184.14017,-1.0941643,126.48894,38.131706,187.84016,0.42623895,125.25595,38.632347,182.46057,-0.7110727,2.7182941,2.5577676,8.846117,-4.7804995,0.18445039,1.2602693,3.8676758,-3.4818141,-1.2462397,0.65756524,0.039964106,-2.8446822,0.17840230464935303,-0.4855636954307556,0,0,49623,383,135.26027397260273,1.5792090725429695,138,130,2.7288052506594673,1.0020402941271271,4.438136688647218,0.9540129666246373,369.0989458220765,5.995265986274135,376.1558344872918,350.988417157933,0.20398453,0.6486121,0.99963665,-0.9963155,73,369.0989458220765,9.318913935683668,0.015184704214334488,112.20447224983945,121.53857088973746,612.5480333077721,4
200919,20.144783,13.174438,20.88623,13.082703,4.6541443,4.793247,157.5312,55.52784,224.65659,1.578276,157.89021,55.333908,223.22342,2.8598397,149.14563,55.328735,220.72813,-20.795713,149.26834,55.327015,222.6142,-24.14607,157.12526,55.784794,224.56961,-16.381096,157.40219,55.572575,223.1883,-17.26522,0.057998255,0.55928946,0.9998572,-0.9998251,2.882886,1.0016406,4.968491,0.83407795,25001,25001,-153.88559,156.69907,55.547234,223.18333,1.5278345,156.98785,55.46391,222.68289,2.8235114,157.32445,55.950848,223.7223,2.5582013,3.1144874,2.7564595,10.897302,-6.1719527,0.097243816,1.3386841,4.268574,-4.2397494,-1.4031686,0.67531866,0.48079672,-2.9913263,0.15199019014835358,0.2156822383403778,0,0,59604,440,175.10526315789474,3.1438283206459112,179,169,3.1285149688037985,1.0867550640142745,5.140191305069295,0.9812199864513724,547.8194369058019,12.506721451796654,563.0622069880756,524.7294761624356,0.15189403,0.5754169,0.9984099,-0.99971074,57,547.8194369058019,9.501201712992042,0.014981743413954973,109.0722882617265,118.5884717181325,731.1430166829377,5
200919,21.564747,14.0668335,22.060793,14.093262,5.089853,5.2608523,181.66116,58.789364,262.86166,13.083303,181.78304,59.04611,263.62402,11.95278,172.54584,59.389427,261.66312,-9.567005,172.38947,59.416367,258.84363,-12.144761,181.31535,58.7713,262.4527,14.122686,181.44115,59.113464,263.91455,12.464314,0.0514582,0.56739485,0.99999136,-0.99953824,2.9210553,1.0040287,5.0799174,0.9152748,30001,30001,-177.94855,180.67899,59.06208,261.80484,12.64955,180.74594,59.29772,260.05814,11.719589,180.84589,59.256863,261.20264,11.304608,3.0389404,2.4612372,9.391891,-4.9878225,0.02671466,1.2668737,3.7140872,-3.6237717,-1.3911896,0.646531,-0.09144674,-2.8929238,0.15682090818881989,0.07214413583278656,0,0,69569,501,163.36065573770492,1.5788851315192798,166,159,3.1775593012429755,1.168703036799629,5.328348374858712,0.7693604433643251,519.088171096496,5.742329481631601,527.9943748887406,501.95339586566826,0.10624066,0.5359993,0.99841547,-0.9997843,61,519.088171096496,8.955298643093556,0.015035682823508978,111.09046887094155,120.06080319685861,851.210236504674,6
200919,27.307999,15.985474,26.228848,15.95697,4.874132,5.013742,184.3212,67.34097,287.42654,9.264417,183.93997,67.44805,288.6306,8.325101,175.69223,68.56957,279.74146,-8.757866,175.05424,68.33088,277.7765,-9.140885,183.86687,67.294174,287.45862,11.177229,183.50754,67.39217,288.7239,8.657087,0.06867256,0.58370924,0.99956447,-0.9996612,2.9711444,1.1146791,5.4086194,0.56179595,35001,35001,-180.47903,183.0566,67.67864,285.8451,5.4977117,182.69128,67.797424,286.76022,3.733704,182.647,67.86402,286.30008,11.479328,2.822444,2.520643,9.791948,-5.7401066,0.10504194,1.2787043,3.6754417,-3.7838979,-1.3440608,0.65620214,-0.031015888,-2.933621,0.1599409580230713,-0.3254490792751312,0,0,79399,549,204.79166666666666,1.4994211846205485,207,200,3.235781216954926,1.0606386873231064,4.994515475498841,0.8127145324666655,662.6610283888941,4.5801483878557665,670.3062168247152,646.3942792651586,0.005917738,0.51563555,0.9960934,-0.9979446,48,662.6610283888941,9.294954695738852,0.014835033100098372,111.17822192702442,120.48801165586337,971.7046012771316,7
200919,24.096254,16.413208,23.089754,16.223389,4.2332277,4.413724,199.98611,65.28731,288.44574,-1.004896,201.25037,65.406845,289.5783,1.6378841,192.5241,66.051506,283.05292,-8.945132,193.49268,65.81945,283.52673,-3.8873281,199.6149,65.333084,288.2323,-5.3105383,200.83995,65.44358,289.06952,-1.475481,0.09998045,0.5577773,0.99830645,-0.99966884,2.7686095,1.0780917,5.2449183,0.84226245,40001,40001,-197.15938,199.099,65.53927,287.8137,-3.9161854,200.36441,65.61395,289.03085,-0.063725054,200.38556,65.47153,289.07693,2.8003378,2.5880318,2.603948,9.994471,-4.6474257,0.14674394,1.1737047,3.3508806,-3.5628395,-1.3267301,0.6038796,-0.0034584552,-2.9630897,0.16251996159553528,-0.7485040426254272,0,0,89193,584,279.8285714285714,11.76067469951257,314,262,3.3344309722364627,1.0051454147573005,6.032582369534269,0.83037879668587,933.0690554881119,42.59431544774193,1067.6084721350474,883.5356223145036,0.04745473,0.529559,0.99751157,-0.9987982,35,933.0690554881119,9.139416032005101,0.014522152952849865,108.94754584506154,118.10148403001949,1089.8124220427126,8
200919,21.08304,13.493164,21.531023,13.033447,5.598686,5.817308,194.772,73.142586,308.03552,-1.7631769,194.18982,73.02458,305.51764,-1.5044217,184.65804,74.63005,302.74146,-27.792736,183.68588,74.32671,304.5725,-23.084047,194.16037,73.35473,307.97894,-18.804682,193.62708,73.12235,305.36295,-14.456633,0.021985708,0.5716332,0.9999999,-0.99921834,3.0340066,1.0043204,4.8583164,0.51050377,45001,45001,-190.3331,193.62497,73.23229,305.20908,-1.8818439,193.145,73.13393,304.65445,-0.66877896,193.70383,72.763885,305.5054,0.8407717,3.162281,2.7940376,10.30876,-7.5603876,-0.016441913,1.3676027,3.8643234,-3.7960281,-1.3768116,0.672108,0.06608606,-2.866033,0.16466762125492096,0.2927362620830536,0,0,98931,619,278.22857142857146,1.7085618728829777,282,273,3.313311204294924,0.9812064325459873,5.033230388905349,0.8947845982180086,921.8578430692565,4.936369906973986,930.787970664283,906.1345645832535,0.061858658,0.5517996,0.99788874,-0.99872303,35,921.8578430692565,9.16469852393493,0.01454389188438654,109.16356560122222,118.34280801704153,1208.1615244946443,9
