replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999000,96.81197,96.69112,0,0,0.31993318,-0.0082671065,0.0073569817,0.007518814,-0.021592077,-0.0018380228,0.007183192,0.011442573,-0.019940812,9.525558,2.4324923,12.264218,-0.5000467,0.36993316,0.107651964,0.75776505,0.11110217,3.3893785,1.71505,11.64036,0.20852363,7.589407,4.6269736,29.01733,0.2587155,1.0010005235671997,0,0,10000,10,1000.0,0.0,1000,1000,-0.301439683554183,0.8507721356840194,2.9484388247557947,-3.7931686754583276,-301.43968355418303,121.15753275420607,-122.46408811146217,-564.9912573840248,-0.056681756,0.7179261,0.99962914,-0.9998565,10,-301.43968355418303,16.682637082994916,0.01611067100020591,0.03425886400509626,153.72250119199452,170.45550780999474,185.5271609089832,0
999000,4.006216,3.6526465,0,0,293.50604,213.24756,40.04025,250.67813,-4.311667,213.25485,40.06102,251.12549,-3.3574443,213.48196,39.790527,250.42105,-1.9248579,0.11885327,0.06001036,0.5061577,0.029925684,0.12981296,0.2868212,3.970643,0.0022585224,0.37243274,0.52126324,6.445895,0.017188912,4272.3427734375,0,0,20000,20,1000.0,0.0,1000,1000,0.14972535548252175,0.3547246781167798,4.817023664901066,-0.8525259813386357,149.7253554825218,70.19917851541966,312.5960024308707,89.66849502809683,-0.12532608,0.31084374,0.981284,-0.9943735,10,149.7253554825218,18.417459408010473,0.019357038007001393,0.09802239599230234,158.42312628299987,176.95796512500965,362.48953372101823,1
999000,9.37466,8.727446,0,0,1276.6038,391.78296,73.918724,466.24713,-24.624908,391.68317,74.01542,467.74277,-25.180386,391.56577,73.94673,463.38782,-21.42762,0.10795772,0.06692809,0.44972086,0.019258931,0.10217278,0.25620696,2.8416743,0.00015542851,0.334505,0.5581426,5.202719,0.0044370145,22026.466796875,0,0,30000,30,1000.0,0.0,1000,1000,0.982257982733483,2.02593809689393,9.062459767845052,-3.2394707697848957,982.2579827334833,825.6230122727619,2505.7859704776843,-54.307003019601325,-0.09111783,0.39366597,0.9999626,-0.9997584,10,982.2579827334833,17.084364925001864,0.01582568499725312,0.09731333299714606,157.1971013680013,174.39460531099758,536.8913041919877,2
999000,26.147528,28.190792,0,0,1075.1038,532.16614,98.35255,632.1069,-26.970078,531.898,98.46174,632.31946,-26.145039,532.73254,98.67818,630.0613,-26.298264,0.09880963,0.06778979,0.6333015,0.019717703,0.09531246,0.28680953,3.3951325,0.000161087,0.30050912,0.7459048,9.667945,0.0061308756,22026.466796875,0,0,40000,40,1000.0,0.0,1000,1000,1.4538460563796116,2.4239344778703393,11.229201352782434,-2.135688770687261,1453.8460563796111,1129.3583061834265,4168.705291171052,473.7197768300363,-0.105860956,0.410555,0.99999225,-0.9999967,10,1453.8460563796111,18.728786840001703,0.017698987008770928,0.09902795600646641,159.90286430800916,178.7483780910261,715.6450779800507,3
999000,47.035275,50.49846,0,0,908.9596,638.28345,128.83427,748.4756,-15.793614,638.077,129.09062,747.88446,-17.114674,638.52576,130.10315,749.81934,-15.770264,0.0912667,0.073020354,0.70670086,0.016349727,0.09239424,0.35573605,5.048037,0.000113045455,0.28627944,0.8511842,11.851563,0.0027252724,22026.466796875,0,0,50000,50,1000.0,0.0,1000,1000,1.455944187891137,2.8638525318816583,12.483056706401385,-2.353658459670669,1455.9441878911366,1906.7350588420904,5720.241355337812,-77.64718304616969,-0.103220224,0.43838373,0.9999955,-1.0,10,1455.9441878911366,18.154666820002603,0.023950888993567787,0.09273470799962524,158.12468207899656,176.39603449599235,892.0465352710162,4
999000,26.704018,30.7966,0,0,738.7051,730.90125,140.97147,841.22675,-47.002598,730.8507,141.08951,843.40906,-46.531765,731.2283,140.61606,839.423,-44.13705,0.08353716,0.06362059,0.6835479,0.0169687,0.06000221,0.11049554,0.99620473,0.00021883345,0.23086235,0.71281844,11.23722,0.007854933,22026.466796875,0,0,60000,60,1000.0,0.0,1000,1000,1.0155223681433982,2.2670596861893437,11.474428051390145,-1.0399986997945203,1015.5223681433979,1468.236270756618,5049.0502662573235,83.79143422611594,-0.117056794,0.38966483,0.9999725,-0.9999726,10,1015.5223681433979,18.008458443000563,0.014600510010495782,0.06232469501264859,150.71435171300254,168.79973536102625,1060.850740732043,5
999000,43.12819,39.30108,0,0,996.536,777.0289,166.83507,912.32837,-95.258125,778.16406,167.07385,910.967,-96.518364,777.8174,166.48158,910.9439,-98.04393,0.095242664,0.097872525,0.9229712,0.01699327,0.12653853,0.5282936,6.118154,0.00017237428,0.41317955,1.8054383,23.039156,0.004607303,22026.466796875,0,0,70000,70,1000.0,0.0,1000,1000,4.585615892585013,4.575542956612139,12.806103660731413,-0.8550516924667577,4585.615892585012,3208.1921756645015,9205.42186346439,-37.969116359119795,-0.14864382,0.5550182,0.9999794,-0.9999882,10,4585.615892585012,14.88766016199952,0.0166383760079043,0.08895210700575262,129.5450193029974,144.53826994801057,1205.3938938700448,6
999000,42.827812,41.669075,0,0,715.2641,851.65344,143.65938,956.00543,-60.90962,850.92175,143.63249,956.7778,-56.603916,852.4774,143.87643,953.29724,-55.450092,0.082472935,0.07360691,0.78576344,0.015345509,0.077267,0.3413858,5.2041135,0.00025924642,0.25957906,1.0347685,15.538907,0.006534385,22026.466796875,0,0,80000,80,1000.0,0.0,1000,1000,2.73830191580235,3.9109250366478827,13.09657823206419,-1.1708801866190128,2738.3019158023485,2228.2437660633386,6966.78281296592,301.49451656327136,-0.1395458,0.47745,0.99993104,-0.9999724,10,2738.3019158023485,14.821020726012648,0.013981468000565656,0.08113036000577267,129.5336891959887,144.4498217500077,1349.8478842800396,7
999000,34.068073,30.955593,0,0,-287.25723,892.99304,166.28433,1032.4711,-50.5121,892.82227,166.61243,1033.2947,-52.533367,891.52246,166.84972,1028.8352,-60.17467,0.077505276,0.049211692,0.48115063,0.011720726,0.05259927,0.16004804,2.8340962,0.0003884798,0.17272574,0.4003502,6.076215,0.0023982776,22026.466796875,0,0,90000,90,1000.0,0.0,1000,1000,7.661808065642495,4.078453596812974,13.264705907525421,-0.8477514720445076,7661.808065642494,2520.247997025954,9860.061228683568,1955.4218971558776,-0.16520193,0.66636384,0.9999124,-0.99997354,10,7661.808065642494,14.584569384998758,0.015589078990160488,0.07697186501172837,144.13943038399157,158.8165607129922,1508.6694204940286,8
999000,53.89212,52.210808,0,0,-300.35455,915.0725,156.00017,1024.0864,-58.45357,915.1936,155.74133,1026.9087,-59.37253,915.7115,156.51653,1026.6384,-57.299545,0.077895,0.060736854,0.43847594,0.008325078,0.057960115,0.18522516,2.6447942,0.0001722424,0.20121579,0.49458498,4.1859503,0.0016017584,22026.466796875,0,0,100000,100,1000.0,0.0,1000,1000,8.20762519380626,3.894623360495977,12.94345413298961,-0.8303163070510862,8207.625193806267,2202.106441036473,9823.465666810034,3151.0448650318162,-0.16795972,0.6715322,0.99987376,-0.9998852,10,8207.625193806267,14.770794041003683,0.01411196799017489,0.08376863999001216,142.39141223899787,157.26008688798174,1665.9339321789885,9
