replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999000,0.45492053,0.4509825,0,0,0.27433246,0.0060972897,0.003350779,0.015124783,-0.00522324,-0.0022281518,0.003381837,0.006291253,-0.010392856,-0.2393057,0.6283107,1.3722135,-1.7638717,0.32433248,0.06671396,0.5161907,0.15565622,2.8748393,1.2003878,8.378178,0.29827407,6.757148,3.883036,24.668385,0.51461136,1.0010005235671997,0,0,10000,10,1000.0,0.0,1000,1000,-0.26841213110301093,0.6301272383581362,2.4583353346564465,-3.1689607162792015,-268.4121311030109,49.71166968311548,-169.716041846553,-346.0480985659461,0.043700747,0.72315663,0.9995196,-0.99954,10,-268.4121311030109,13.949471015002928,0.012607818993274122,0.02804635200300254,120.14499904500553,134.13512423100474,146.77548157601268,0
999000,1.9247506,1.9786735,0,0,35.96504,-4.5806303,5.155615,7.760405,-19.710205,-4.599392,5.178557,7.771725,-19.836535,-4.34785,5.5065074,8.099994,-21.08175,0.0753797,0.02030063,0.12965426,0.024317162,0.38711587,0.09010976,0.7452252,0.07735588,0.43003836,0.10797745,0.850533,0.07927507,1420.3436279296875,0,0,20000,20,1000.0,0.0,1000,1000,-0.0005551236359261192,0.023905590605367965,0.411034924538238,-0.3113259065226986,-0.5551236359261194,0.5220262236103203,0.5465010486057438,-1.4159965465513262,0.014119107,0.021616623,0.08602306,-0.06651606,10,-0.5551236359261194,14.106478860005154,0.012481075988034718,0.08155048299522605,121.19740311599162,135.39791353498003,282.17769483196025,1
999000,4.5864496,4.282318,0,0,452.0558,-8.398961,8.031727,15.444317,-36.59111,-8.358084,8.11038,15.195526,-36.054695,-8.180508,8.535866,15.202734,-37.439938,0.07052331,0.019921029,0.12853368,0.026156995,0.3869419,0.08145146,0.6154258,0.07752026,0.42711216,0.095495835,0.754659,0.08008912,22026.466796875,0,0,30000,30,1000.0,0.0,1000,1000,-7.333872050204463e-05,0.01719998831827142,0.47581728277835517,-0.29600318920218355,-0.07333872050204378,0.8113803394581369,1.5912817267722903,-0.9189083614847148,0.0023743007,0.008177571,0.03340283,-0.031167347,10,-0.07333872050204378,14.19271293800557,0.013288219008245505,0.08285796399286482,121.80140450199542,136.0902636230021,418.2720057239494,2
999000,5.8024554,5.2501535,0,0,570.3559,-16.31741,9.503536,6.81165,-50.940277,-16.193851,9.527666,6.574903,-50.101498,-16.15066,9.576029,8.894807,-51.50326,0.07589412,0.021118188,0.13771626,0.031323135,0.4110126,0.08888499,0.71349144,0.11699192,0.4541522,0.10291347,0.7863042,0.12176701,22026.466796875,0,0,40000,40,1000.0,0.0,1000,1000,-0.0003263144673161877,0.01577242301281374,0.24902183135815845,-0.3354575153922063,-0.3263144673161879,0.5571470536564154,0.70256895378699,-1.0774378902067805,-0.003982209,0.013268015,0.034945387,-0.044446982,10,-0.3263144673161879,13.966000813001301,0.012915291008539498,0.09712660699733533,121.5675087540003,135.64355146500748,553.9195733379602,3
999000,7.33644,6.98746,0,0,490.48248,-23.933456,11.703022,6.6006565,-54.776173,-24.120895,11.721146,6.666619,-54.98706,-23.910711,12.041609,5.2766104,-55.173756,0.07226787,0.019668644,0.12425553,0.030963324,0.40019262,0.079754084,0.6387077,0.08537356,0.44132173,0.09175768,0.73186624,0.0864847,22026.466796875,0,0,50000,50,1000.0,0.0,1000,1000,-0.0004296374163147073,0.018762246890781983,0.30673721335429194,-0.4438657232107278,-0.42963741631470753,0.8498842882813643,1.095009822049663,-1.7585582959775545,-0.0033915497,0.0107533,0.038144115,-0.039758276,10,-0.42963741631470753,14.062885613006074,0.01341972200316377,0.07694108299619984,124.46103465399938,138.61428107200481,692.537861922945,4
999000,5.2960844,4.9940596,0,0,526.0374,-33.477936,15.745098,-2.9185212,-59.071075,-33.42656,15.718737,-2.445468,-58.79616,-33.591423,15.705866,-2.3905094,-59.136536,0.07388206,0.018568067,0.122882254,0.028765917,0.40997386,0.080601454,0.7034102,0.082284115,0.45170873,0.09189755,0.79524446,0.08424551,22026.466796875,0,0,60000,60,1000.0,0.0,1000,1000,-0.0004227383431403629,0.015595996719915862,0.1728287694689592,-0.2484797076328348,-0.4227383431403629,0.3230576904979077,-0.051493997062249476,-0.9296591662081491,-0.006708463,0.01389594,0.037001096,-0.04561132,10,-0.4227383431403629,14.429769516005763,0.013487547999829985,0.06989696600066964,124.3334085180104,138.84656254801666,831.3885074549617,5
999000,5.394991,4.8291645,0,0,548.2232,-43.98594,19.843456,-5.9601574,-71.23526,-43.787437,19.869894,-6.4458466,-71.65604,-44.077477,19.995977,-5.700791,-71.06478,0.074889295,0.020518225,0.12744018,0.028620506,0.4157021,0.0816136,0.6636242,0.1466356,0.45796973,0.09350003,0.75600505,0.15356691,22026.466796875,0,0,70000,70,1000.0,0.0,1000,1000,-0.00028035214455997254,0.01892829421138716,0.441806191223813,-0.48731161643198656,-0.2803521445599718,0.752128715480752,0.45755643894931025,-2.2407266411145987,-0.0019193352,0.010447438,0.033803698,-0.038729873,10,-0.2803521445599718,14.26901774200087,0.013808271003654227,0.06141348999517504,124.6912340150011,139.0354735180008,970.4282231619727,6
999000,5.243627,5.3031693,0,0,586.75964,-53.456036,20.695858,-6.1450515,-74.94956,-53.37635,20.682964,-6.3726583,-76.125984,-53.252953,20.929249,-3.6466756,-76.45568,0.07663885,0.020051876,0.12888978,0.026581945,0.42045552,0.083419256,0.6591085,0.12078334,0.46335894,0.0956137,0.7217278,0.12494536,22026.466796875,0,0,80000,80,1000.0,0.0,1000,1000,-0.00034419524946097325,0.017258324515503316,0.32712445014733876,-0.434425329707587,-0.344195249460973,0.7106452144703449,0.5257524453928717,-1.758417674974373,-0.0019629784,0.011740428,0.040105563,-0.037856977,10,-0.344195249460973,14.27495667101175,0.012846708996221423,0.10010396999132354,126.17039362400828,140.55830097400758,1110.9908198969497,7
999000,7.0761304,5.8399153,0,0,614.6372,-50.852108,23.91244,-0.40146777,-78.38197,-50.826447,23.831974,-2.7386427,-77.06213,-51.04299,23.98258,-1.1706586,-79.04658,0.07557043,0.019752583,0.12953283,0.027246332,0.41470307,0.07865539,0.65582913,0.15656877,0.45636487,0.08964869,0.72922266,0.16153453,22026.466796875,0,0,90000,90,1000.0,0.0,1000,1000,-0.0006184838444228778,0.01944542381498335,0.4029949622980468,-0.4347117022037117,-0.6184838444228774,0.9304810386254461,0.8455890451791377,-2.4528253018345905,-0.005802947,0.012676982,0.03135826,-0.04261013,10,-0.6184838444228774,14.29437763900205,0.020050945997354575,0.10132714499195572,167.21726366599614,181.6330193959875,1292.6280809909367,8
999000,2.4019165,2.2755,0,0,704.4402,-52.26001,22.59479,-1.7420602,-80.04823,-52.11444,22.495804,-0.75282764,-79.40027,-51.854717,22.516293,-2.33182,-77.53522,0.07960326,0.021358002,0.14019471,0.027518425,0.43134198,0.08004671,0.6621893,0.09165826,0.47576314,0.091359064,0.7419549,0.093568385,22026.466796875,0,0,100000,100,1000.0,0.0,1000,1000,-0.00021348742098803238,0.015447044006641835,0.2804086887547647,-0.2828762406508554,-0.21348742098803225,0.6123956597776934,0.6192551474329706,-1.2154993076930651,-0.0058223126,0.013149054,0.04010248,-0.04358108,10,-0.21348742098803225,18.198472371004755,0.016265551006654277,0.07542066200403497,179.18145866401028,197.47161724802572,1490.104157390946,9
